"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"Community Centre","Cliffe Bungalow/Mission Community Association","2201 Cliff ST SW","CLI","POINT (-114.0760988 51.0333682)"
"Court","Alberta Provincial Court (Traffic)","# 203-S 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Community Centre","Tuscany Community Centre","212 Tuscany Way NW","TUS","POINT (-114.2456589 51.1245971)"
"Attraction","Trans Canada Trail Pavillion","Bow River Pathway at 2 ST SW","DNC","POINT (-114.0661466 51.0536773)"
"Community Centre","Albert Park / Radisson Heights Community Centre","2636 12 AV SE","ALB","POINT (-113.9985699 51.0421365)"
"Library","Judith Umbach Library","6617 CENTRE ST N","HUN","POINT (-114.063982 51.1118866)"
"Community Centre","Glamorgan Community Centre","4207 41 AV SW","GLA","POINT (-114.1451832 51.0173682)"
"Attraction","Scotiabank Saddledome","555 Saddledome RI SE","BLN","POINT (-114.0519846 51.0374081)"
"PHS Clinic","South Calgary Health Centre","31 Sunpark Plaza SE","SDC","POINT (-114.0585892 50.902582)"
"Attraction","Devonian Gardens -  The CORE Shopping Centre","317 7 AV SW","DNC","POINT (-114.069073 51.0465414)"
"Community Centre","Marlborough Park Community Centre","6021 Madigan DR NE","MPK","POINT (-113.9425012 51.0600518)"
"Community Centre","Arbour Lake Community Centre","12 Arbour Lake DR NW","ARB","POINT (-114.2025913 51.1331004)"
"Community Centre","Parkland Community Centre","505 Parkvalley RD SE","PKL","POINT (-114.0262601 50.9180347)"
"Hospital","South Health Campus","4448 FRONT ST SE","SET","POINT (-113.951718 50.8821086)"
"Community Centre","Rosedale Community Centre","901 11 AV NW","RDL","POINT (-114.0814484 51.0621596)"
"Community Centre","Wildwood Community Centre","4411 Spruce DR SW","WLD","POINT (-114.1508944 51.0518931)"
"Commercial","Manchester Industrial Park",,,"POINT (-114.056678 51.0159797)"
"Community Centre","Tuxedo Park Community Centre","202 29 AV NE","TUX","POINT (-114.0596544 51.0789245)"
"Attraction","Inglewood Bird Sanctuary","2425 9 AV SE","ING","POINT (-114.0087566 51.0301025)"
"Community Centre","Queensland / Diamond Cove Community Centre","649 Queensland DR SE","QLD","POINT (-114.0216773 50.9396076)"
"Community Centre","Capitol Hill Community Centre","1531 21 AV NW","CAP","POINT (-114.0964729 51.0712824)"
"Attraction","Contemporary Calgary Art Gallery","701 11 ST SE","DNW","POINT (-114.0891883 51.0474598)"
"PHS Clinic","Shaganappi Complex Health Centre","3415 - 8 AV SW","SPR","POINT (-114.1368562 51.0448939)"
"Community Centre","Bankview Community Centre","2418 17 ST SW","BNK","POINT (-114.1015114 51.0325299)"
"Attraction","The Police Museum","5111 47 ST NE",,"POINT (-113.9694038 51.098696)"
"Social Dev Ctr","South Area","502 HERITAGE DR SW","KIN","POINT (-114.0743651 50.9831438)"
"Court","Alberta Court of Appeal","2600 450 1 ST SW","DNC","POINT (-114.0646823 51.0487285)"
"Community Centre","Windsor Park Community Centre","5304 6 ST SW","WND","POINT (-114.078561 51.0064105)"
"Attraction","Butterfield Acres Children's Farm","Rocky Ridge RD & 120 AV NW","02A","POINT (-114.2358437 51.1590263)"
"Community Centre","Falconridge/Castleridge Community Centre","95 Falshire DR NE","FAL","POINT (-113.9463222 51.1045559)"
"Attraction","Canada's Sports Hall of Fame","169 Canada Olympic Road SW","COP","POINT (-114.2220068 51.0834673)"
"Commercial","Deerfoot Meadows",,,"POINT (-114.0420643 50.9842318)"
"Community Centre","Mount Pleasant Community Centre",,"MOP","POINT (-114.0743499 51.0727653)"
"Community Centre","Highland Park Community Centre","3716 2 ST NW","HPK","POINT (-114.0662553 51.0853284)"
